,Name,Tweets,Dates,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
30,CNN,"RT @cnni: Two of the most wanted fighters from the British ISIS cell called ""the Beatles"" spoke with @npwcnn from inside the detention faci…",Mon Apr 09 14:21:53 +0000 2018,-0.4549,0.0,0.153,0.847,31
31,CNN,"As images of Syrian children gasping and convulsing spread around the world, President Trump and other internationa… https://t.co/QFqM3UzVxs",Mon Apr 09 14:20:03 +0000 2018,0.0,0.0,0.0,1.0,32
32,CNN,Life coach Tony Robbins apologized for his comments about the #MeToo movement after suggesting during a March event… https://t.co/U0Ln3fjW8v,Mon Apr 09 14:04:35 +0000 2018,0.3182,0.119,0.0,0.881,33
33,CNN,From political refugee to CEO: How Geisha Williams made history by becoming the first Latina CEO of a Fortune 500 C… https://t.co/v9AAlj9mmM,Mon Apr 09 13:52:05 +0000 2018,0.0,0.0,0.0,1.0,34
34,CNN,Defense Secretary James Mattis on the possibility of launching airstrikes against Syrian President Bashar al-Assad'… https://t.co/4Oi2LTEfJ4,Mon Apr 09 13:40:21 +0000 2018,0.128,0.091,0.0,0.909,35
35,CNN,"""Black Panther"" passes ""Titanic"" at the box office on the all-time list of highest grossing films… https://t.co/Lf9lIVteVA",Mon Apr 09 13:29:17 +0000 2018,-0.0772,0.0,0.075,0.925,36
36,CNN,Attorney General Jeff Sessions just made the opioid war harder to win | via @CNNopinion https://t.co/eO2ZYGLkm8 https://t.co/5ZmHgOzoz7,Mon Apr 09 13:20:01 +0000 2018,-0.0258,0.175,0.18,0.645,37
37,CNN,"A disaster was narrowly averted in eastern India after a runaway train carrying up to 1,000 passengers rolled with… https://t.co/lGO0pA0YRX",Mon Apr 09 13:12:03 +0000 2018,-0.6597,0.0,0.252,0.748,38
38,CNN,"Syria and it most powerful ally, Russia, blamed Israel for striking an airbase in the war-torn country on Monday, f… https://t.co/dU3bFRhJlV",Mon Apr 09 13:05:54 +0000 2018,-0.0018,0.123,0.123,0.754,39
39,CNN,Stormy Daniels' legal team plans to release a composite sketch of the man the porn star says threatened her in 2011… https://t.co/Rbmaf5sW4J,Mon Apr 09 13:00:15 +0000 2018,-0.3612,0.064,0.128,0.809,40
40,CNN,"Florida Republican Gov. Rick Scott says he's running for the US Senate, setting up a serious challenge to the state… https://t.co/9oHrPWsZw6",Mon Apr 09 12:49:37 +0000 2018,0.0,0.063,0.063,0.874,41
41,CNN,Beyond Tokyo: 8 of Japan's best foodie destinations https://t.co/0vjI9pVzDK via @CNNTravel https://t.co/MPo2WPjbfX,Mon Apr 09 12:45:10 +0000 2018,0.6369,0.296,0.0,0.704,42
42,CNN,Pope Francis says helping the poor and migrants is as important as opposing abortion https://t.co/XHbOXLchua https://t.co/XXBefmOdcn,Mon Apr 09 12:38:55 +0000 2018,-0.0258,0.199,0.154,0.647,43
43,CNN,Russia's Defense Ministry has claimed that Israel was behind a series of strikes on an airbase in central Syria on… https://t.co/IrPIXbxHUd,Mon Apr 09 12:37:05 +0000 2018,-0.25,0.068,0.114,0.818,44
44,CNN,"Donald Trump always strives to command center stage, but the US President is now embroiled in so many escalating gl… https://t.co/2yZT9mnSSF",Mon Apr 09 12:30:11 +0000 2018,0.0,0.0,0.0,1.0,45
45,CNN,"Deutsche Bank, Germany's biggest lender, is getting rid of its CEO after years of heavy losses.… https://t.co/O1UvpLNxyz",Mon Apr 09 12:26:02 +0000 2018,0.0,0.0,0.0,1.0,46
46,CNN,4 questions Congress must ask Facebook CEO Mark Zuckerberg https://t.co/5PaplSDYRt https://t.co/TPsfQPpUKu,Mon Apr 09 12:19:04 +0000 2018,0.0,0.0,0.0,1.0,47
47,CNN,"Two of the most wanted fighters from the British ISIS cell known as ""the Beatles"" have called some of the group's a… https://t.co/ErTHLwtmHe",Mon Apr 09 12:16:02 +0000 2018,-0.1226,0.0,0.063,0.937,48
48,CNN,"Facebook CEO Mark Zuckerberg is on Capitol Hill today to meet with lawmakers, including members of committees holdi… https://t.co/TEjSDM8O0O",Mon Apr 09 12:12:37 +0000 2018,0.0,0.0,0.0,1.0,49
49,CNN,"New York Times top editor on journalism's ""biggest crisis"" https://t.co/YZqAM2JZ2X https://t.co/aGlBwRjZrc",Mon Apr 09 12:12:02 +0000 2018,-0.5106,0.121,0.275,0.604,50
50,CNN,What cities and states are doing about guns since the Parkland shooting https://t.co/x2gNmQqcvg https://t.co/q70mtKVUqn,Mon Apr 09 12:04:23 +0000 2018,0.0,0.0,0.0,1.0,51
51,CNN,Designing for hedonists: The evolution of nightclub interiors https://t.co/PJKGBCwL2b via @CNNStyle https://t.co/osJPpj5Jlo,Mon Apr 09 12:03:04 +0000 2018,0.0,0.0,0.0,1.0,52
52,CNN,"A disaster was narrowly averted in eastern India on Saturday after a runaway train carrying up to 1,000 passengers… https://t.co/VGZeMMBqZ9",Mon Apr 09 11:59:06 +0000 2018,-0.6597,0.0,0.252,0.748,53
53,CNN,"How President Trump might counter ""Animal Assad"" https://t.co/1UCL0ugNRt | via @CNNOpinion https://t.co/6Vxl00eqbc",Mon Apr 09 11:56:02 +0000 2018,0.0,0.0,0.0,1.0,54
54,CNN,16-year-old breaks Commonwealth Games record to win shooting gold for India https://t.co/ckEnqdDG2p https://t.co/Y7CYQy1zrp,Mon Apr 09 11:51:07 +0000 2018,0.5859,0.241,0.0,0.759,55
55,CNN,Here's everything you need to know about the US-China trade battle https://t.co/qfAXCtoeph https://t.co/qc6MwmahAG,Mon Apr 09 11:44:06 +0000 2018,-0.3818,0.0,0.178,0.822,56
56,CNN,"Oklahoma teachers will continue their walkout for a sixth day today, maintaining their pressure on state legislator… https://t.co/FdYFsxlo0U",Mon Apr 09 11:39:27 +0000 2018,-0.5423,0.0,0.231,0.769,57
57,CNN,"Lightning strike kills 1, injures 4 in Florida https://t.co/iDZeD9keEh https://t.co/MnHKWwyfzB",Mon Apr 09 11:38:04 +0000 2018,-0.6124,0.0,0.417,0.583,58
58,CNN,Atlanta is the world's busiest airport for another year. Here's the rest of the list: https://t.co/qy5qAnTwjG,Mon Apr 09 11:31:05 +0000 2018,0.0,0.0,0.0,1.0,59
59,CNN,"As images of Syrian children gasping and convulsing spread around the world, President Trump and other internationa… https://t.co/4UF8wtRLft",Mon Apr 09 11:30:06 +0000 2018,0.0,0.0,0.0,1.0,60
