,Name,Tweets,Dates,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
31,The New York Times,"Big power tensions in the Syria conflict, already running high after an apparent chemical weapons attack, ratcheted… https://t.co/JAhWKLryfR",Mon Apr 09 14:00:05 +0000 2018,-0.875,0.0,0.44,0.56,32
32,The New York Times,"Tony Robbins, a life coach, apologized for saying women use #MeToo to gain ""significance"" https://t.co/ZEc5Hy3QpS",Mon Apr 09 13:45:05 +0000 2018,0.6908,0.322,0.0,0.678,33
33,The New York Times,"RT @PatrickKingsley: What would happen if a far-right leader cemented power in a western state? In Viktor Orban's Hungary, it's already hap…",Mon Apr 09 13:30:07 +0000 2018,0.0,0.0,0.0,1.0,34
34,The New York Times,Video: Did these women see #MeToo coming? https://t.co/NXZ3mPD44F,Mon Apr 09 13:20:05 +0000 2018,0.0,0.0,0.0,1.0,35
35,The New York Times,"Friends of the art collector who died in a fire at Trump Tower said he had been trying to move since the election,… https://t.co/AADoOZvj7r",Mon Apr 09 13:11:10 +0000 2018,-0.4404,0.107,0.206,0.687,36
36,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/z6zdDPxTPo https://t.co/fsmzE3skCk,Mon Apr 09 13:00:27 +0000 2018,0.0,0.0,0.0,1.0,37
37,The New York Times,The post-campaign campaign of Donald Trump https://t.co/EFmeLFLJgX https://t.co/nwpMojrmlE,Mon Apr 09 12:44:06 +0000 2018,0.0,0.0,0.0,1.0,38
38,The New York Times,"When women have their first child between age 25 and 35, their pay never recovers, relative to that of their husban… https://t.co/68e886x9kv",Mon Apr 09 12:30:04 +0000 2018,-0.1027,0.0,0.062,0.938,39
39,The New York Times,European leaders' biggest fear may be that President Trump's belligerent approach to trade will destroy the postwar… https://t.co/tjShh80JUo,Mon Apr 09 12:14:03 +0000 2018,-0.7717,0.0,0.295,0.705,40
40,The New York Times,"Caring for migrants and the poor is equally as holy a pursuit as opposing abortion, Pope Francis declared https://t.co/vpN7G3cWgs",Mon Apr 09 11:45:04 +0000 2018,0.0258,0.143,0.139,0.717,41
41,The New York Times,"RT @TheSteinLine: For the second straight season, one seriously sprained knee forced the Warriors to make the unkindest of roster cuts. My…",Mon Apr 09 11:30:06 +0000 2018,-0.6124,0.071,0.257,0.672,42
42,The New York Times,"After a suspected chemical attack in Syria, President Trump said Iran and Russia were responsible for backing ""Anim… https://t.co/PYq05VxVKa",Mon Apr 09 11:14:03 +0000 2018,-0.3818,0.152,0.223,0.625,43
43,The New York Times,"""At a certain point, you just have to do something,"" said a bookseller in Berlin who helped organize protests again… https://t.co/KRDuQhzKMH",Mon Apr 09 11:00:13 +0000 2018,0.0516,0.1,0.09,0.81,44
44,The New York Times,Their data was swept up for Cambridge Analytica. Some of the first known affected Facebook users to be publicly ide… https://t.co/c3xhGEDI7r,Mon Apr 09 10:44:06 +0000 2018,-0.1531,0.0,0.074,0.926,45
45,The New York Times,"RT @nytimesworld: “We don’t want migrants to come to Hungary,” said an army reservist who voted for Viktor Orban’s party. “They are unwilli…",Mon Apr 09 10:31:06 +0000 2018,0.4588,0.16,0.0,0.84,46
46,The New York Times,Six men suspected of plotting a possible attack on the Berlin half-marathon on Sunday were detained by the police https://t.co/kYJl4HlJs6,Mon Apr 09 10:17:02 +0000 2018,-0.7717,0.0,0.325,0.675,47
47,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/RNNICDJiOs https://t.co/fTtErIRrGA,Mon Apr 09 10:07:07 +0000 2018,0.0,0.0,0.0,1.0,48
48,The New York Times,"As marijuana use has increased, ER doctors say they've been seeing a steady flow of patients with the telltale symp… https://t.co/7auDlDfWBv",Mon Apr 09 10:00:19 +0000 2018,0.2732,0.1,0.0,0.9,49
49,The New York Times,Syria and Russia blamed Israel for early morning airstrikes on a Syrian military base that a conflict monitoring gr… https://t.co/GtFjYhkZ8d,Mon Apr 09 09:44:01 +0000 2018,-0.6597,0.0,0.252,0.748,50
50,The New York Times,"The reported chemical attack in Syria seems to have squeezed President Trump between conflicting impulses, and rais… https://t.co/mRlcTrwBJA",Mon Apr 09 09:29:01 +0000 2018,-0.7003,0.0,0.266,0.734,51
51,The New York Times,"Viktor Orban, who has set about transforming Hungary from a vibrant democracy into a semi-autocratic state, appeare… https://t.co/Vx2IWPCgzc",Mon Apr 09 09:16:04 +0000 2018,0.5267,0.185,0.0,0.815,52
52,The New York Times,"Modern Love: ""I’m not sure it’s possible to justify my liaisons with married men, but what I learned from having th… https://t.co/PJh6QfzZ26",Mon Apr 09 08:59:04 +0000 2018,0.2776,0.113,0.064,0.823,53
53,The New York Times,North Korea has told the United States that Kim Jong-un is willing to discuss denuclearization of the Korean Penins… https://t.co/B5jGai0g4G,Mon Apr 09 08:46:02 +0000 2018,0.4215,0.128,0.0,0.872,54
54,The New York Times,Many people taking antidepressants are saying they cannot quit because of withdrawal symptoms they were never warne… https://t.co/CeaWbLe2qw,Mon Apr 09 08:31:05 +0000 2018,0.0258,0.061,0.0,0.939,55
55,The New York Times,Consumer groups said YouTube failed to comply with a federal law that requires companies to obtain consent from par… https://t.co/prqzE2SYC7,Mon Apr 09 08:16:06 +0000 2018,-0.34,0.086,0.149,0.766,56
56,The New York Times,Jeff Sessions appointed a United States attorney to handle document production for an inquiry into the FBI's handli… https://t.co/wlGVcDXzjw,Mon Apr 09 07:59:03 +0000 2018,0.4215,0.141,0.0,0.859,57
57,The New York Times,"RT @nytimesworld: Jörg Braunsdorf will order books from some right-wing publishers at the request of customers at his Berlin bookstore, but…",Mon Apr 09 07:44:04 +0000 2018,0.0,0.0,0.0,1.0,58
58,The New York Times,"Sri Reddy, an Indian actress, staged a topless #MeToo protest https://t.co/NUrkj4zdMZ",Mon Apr 09 07:30:15 +0000 2018,-0.25,0.0,0.182,0.818,59
59,The New York Times,"As marijuana use has increased, ER doctors say they've been seeing a steady flow of patients with the telltale symp… https://t.co/cRx05Eb2fu",Mon Apr 09 07:21:00 +0000 2018,0.2732,0.1,0.0,0.9,60
60,The New York Times,A look at some of the major episodes of suspected chemical attacks in Syria https://t.co/n6YplhtWrB,Mon Apr 09 07:04:56 +0000 2018,-0.5859,0.0,0.286,0.714,61
61,The New York Times,Here's how to start a fitness routine – and stick to it https://t.co/WvY6hDtVYB,Mon Apr 09 06:48:38 +0000 2018,0.2732,0.174,0.0,0.826,62
62,The New York Times,RT @gabrieldance: we’ve talked with cambridge analytica. we’ve talked w chris wylie. we’ve talked with kogan about his infamous app. we’ve…,Mon Apr 09 06:32:05 +0000 2018,0.0,0.0,0.0,1.0,63
63,The New York Times,"Is the doctor in? In this new medical age of urgent care centers and retail clinics, that’s not a simple question. https://t.co/AyGCxjbUTp",Mon Apr 09 06:09:41 +0000 2018,0.6124,0.208,0.0,0.792,64
64,The New York Times,15 Lives Devoted to Hockey: A Look at Who Died in a Crash in Canada https://t.co/FHzwWleWQ6,Mon Apr 09 05:51:57 +0000 2018,-0.5574,0.135,0.315,0.55,65
65,The New York Times,"Justice Dept., Pressured by Trump, Seeks to Speed Response to Congressional Inquiry https://t.co/khY6xcbzcN",Mon Apr 09 05:41:01 +0000 2018,0.3612,0.209,0.117,0.675,66
66,The New York Times,"Have a craving for craving for deep, dark pools of warm chocolate, sweet pecans and fragrant coconut? https://t.co/6J9sNLn1pS",Mon Apr 09 05:38:46 +0000 2018,0.5994,0.246,0.0,0.754,67
67,The New York Times,Here's how to start a fitness routine – and stick to it https://t.co/4w3uf4LhhZ,Mon Apr 09 05:22:17 +0000 2018,0.2732,0.174,0.0,0.826,68
68,The New York Times,"Michigan will stop providing free bottled water to the city of Flint. City officials criticized the move, noting th… https://t.co/FKlz64hQeR",Mon Apr 09 05:04:14 +0000 2018,-0.1027,0.132,0.188,0.68,69
69,The New York Times,Many people taking antidepressants are saying they cannot quit because of withdrawal symptoms they were never warne… https://t.co/2qZnmp8U21,Mon Apr 09 04:46:38 +0000 2018,0.0258,0.061,0.0,0.939,70
70,The New York Times,"Once you immerse yourself in the tasty, convenient world of sheet-pan suppers, you won’t want to stop https://t.co/Zfz56ScoJu",Mon Apr 09 04:29:11 +0000 2018,-0.2263,0.067,0.113,0.821,71
71,The New York Times,Their data was swept up for Cambridge Analytica. Some of the first known affected Facebook users to be publicly ide… https://t.co/TPOpwz0ypP,Mon Apr 09 04:12:01 +0000 2018,-0.1531,0.0,0.074,0.926,72
72,The New York Times,"For Luigi Di Maio, It’s Now or Never to Lead Italy. Unless It’s Later. https://t.co/z7ZQwMG4sB",Mon Apr 09 03:52:37 +0000 2018,0.0,0.0,0.0,1.0,73
73,The New York Times,"NYT journalists scoured old Islamic State offices in Iraq, gathering over 15,000 pages of internal records abandone… https://t.co/ITQZbJsbmK",Mon Apr 09 03:48:06 +0000 2018,0.0,0.0,0.0,1.0,74
74,The New York Times,RT @AllMattNYT: SCOOP: “You are the product” — @NYTimes found Facebook users whose data was harvested by Cambridge Analytica. They are the…,Mon Apr 09 03:30:11 +0000 2018,0.3254,0.104,0.0,0.896,75
75,The New York Times,Friends of Todd Brassner remember the man who died in a fire at Trump Tower on Saturday https://t.co/69sA8IQbf8,Mon Apr 09 03:22:03 +0000 2018,-0.4404,0.134,0.26,0.606,76
76,The New York Times,Pyongyang Welcomes Hundreds of Foreigners for Yearly Marathon https://t.co/HA0Qam6afq,Mon Apr 09 03:09:28 +0000 2018,0.4019,0.252,0.0,0.748,77
