,Name,Tweets,Dates,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
30,BBC,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz",Mon Apr 09 11:50:07 +0000 2018,0.0,0.0,0.0,1.0,31
31,BBC,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…,Mon Apr 09 11:27:01 +0000 2018,-0.2023,0.068,0.098,0.833,32
32,BBC,"Love hurts, but this is a step too far...

💍 People are getting finger piercings instead of engagement rings.
👉… https://t.co/eargluPvnC",Mon Apr 09 11:16:03 +0000 2018,0.6757,0.268,0.083,0.649,33
33,BBC,"😴🐻 When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ",Mon Apr 09 10:41:24 +0000 2018,0.0,0.0,0.0,1.0,34
34,BBC,RT @BBCTwo: Every Saga must come to an end... #TheBridge https://t.co/YNyeMUM8A2,Mon Apr 09 08:56:59 +0000 2018,0.0,0.0,0.0,1.0,35
35,BBC,"RT @BBCRadio4: ""If a £100 coat is half price, and you buy it, you haven't saved £50 you've spent £50.""
https://t.co/yKrYlW9jf6",Mon Apr 09 08:40:53 +0000 2018,-0.3252,0.0,0.109,0.891,36
36,BBC,"😲🚂 Hop onboard the train that (somehow) squeezes through a crowded market near Bangkok, eight times a day! https://t.co/htvLHtJdPH",Mon Apr 09 08:01:01 +0000 2018,0.0,0.0,0.0,1.0,37
37,BBC,"The story of why the Roman Baths developed, how they were lost for many centuries and how they were rediscovered.… https://t.co/zEzPchOgPO",Mon Apr 09 07:27:04 +0000 2018,-0.3182,0.0,0.103,0.897,38
38,BBC,🏥 How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo,Mon Apr 09 07:00:14 +0000 2018,0.0,0.0,0.0,1.0,39
39,BBC,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",Sun Apr 08 19:02:05 +0000 2018,0.0,0.0,0.0,1.0,40
40,BBC,😂 Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8,Sun Apr 08 18:03:03 +0000 2018,0.4939,0.314,0.0,0.686,41
41,BBC,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
👉 https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH",Sun Apr 08 17:25:08 +0000 2018,0.25,0.147,0.088,0.765,42
